DisplayName;team;position;underposition;sessionDate;sessionType;allMaxSpeed;distanceTotal;distanceZ5Abs;distanceZ6Abs;maxSpeed;totalTime;entriesZ6Abs;Saison;
JOUEUR 03;Pro2;Attaquant;;17/03/2024;Match Day;35;11204,58356;1062,295948;725,0076485;9,64167438;6022,500009;37;2023 - 2024;
JOUEUR 03;Pro2;Attaquant;;07/09/2025;Match Day;35;12065,16499;697,1134198;647,2230882;9,59167434;8206,499991;;2025 - 2026;
JOUEUR 03;Pro2;Attaquant;;22/03/2025;Match Day;35;9852,961911;805,8395921;643,2951135;9,77223004;6063,199998;35;2024 - 2025;
JOUEUR 08;U17;Defenseur;Central Centre;23/01/2025;Match Day -3;34,6;3611,70097;181,8439326;600,6530312;8,27645662;1915,500001;1;2024 - 2025;
JOUEUR 03;Pro2;Attaquant;;13/09/2025;Match Day;35;11242,04717;803,6704032;561,5536811;5,969849236;7200;27;2025 - 2026;
JOUEUR 03;Pro2;Attaquant;;10/03/2024;Match Day;35;10132,27665;717,2022748;552,8796534;9,93889684;5764,899997;31;2023 - 2024;
JOUEUR 03;Pro2;Attaquant;;17/08/2024;Friendly Match;35;9876,458244;721,1447551;543,8840611;10,15834146;5688,600002;27;2024 - 2025;
JOUEUR 10;Pro2;Attaquant;Attaquant;10/11/2024;Match Day;37,37;10141,52432;731,3253662;543,6948938;9,92778572;5796,599993;28;2024 - 2025;
JOUEUR 03;Pro2;Attaquant;;14/09/2024;Match Day;35;9417,17381;749,9610068;527,4249668;9,26111852;5830,899999;33;2024 - 2025;
JOUEUR 03;Pro2;Attaquant;;09/11/2024;Match Day;35;10204,89858;833,8199799;522,2721358;9,67500774;5625,200001;32;2024 - 2025;
JOUEUR 03;Pro2;Attaquant;;23/11/2024;Match Day;35;8979,140349;754,3968861;505,4520759;9,66389662;5280,699995;30;2024 - 2025;
JOUEUR 03;Pro2;Attaquant;;10/09/2023;Match Day;35;9797,595956;566,5831024;499,3639791;9,22500738;5382,400001;26;2023 - 2024;
JOUEUR 03;Pro2;Attaquant;;08/03/2025;Match Day;35;8055,089785;588,1627619;496,1272793;9,61945214;4623,399993;21;2024 - 2025;
JOUEUR 06;U19;Attaquant;Aillier Droit;09/02/2025;Match Day;33,9;11181,62264;741,9579745;493,9521551;9,32500746;5951,800003;25;2024 - 2025;
JOUEUR 10;Pro2;Attaquant;Attaquant;15/12/2024;Match Day;37,37;11206,08954;926,323255;477,82144;10,38056386;5952,299999;19;2024 - 2025;
